Source,Target,Weight,Type
В.Лащевский,А.С.Зертис-Каменский,1,directed
В.Лащевский,И.А.Клементьевский,1,directed
В.Лащевский,Я.П.Козельский,1,directed
В.Лащевский,Г.В.Козицкий,1,directed
В.Лащевский,П.Г.Левшин,1,directed
В.Лащевский,Ф.Л.Лопатинский,1,directed
В.Лащевский,Н.Н.Мотонис,1,directed
В.Лащевский,Н.И.Новиков,1,directed
В.Лащевский,В.П.Петров,1,directed
В.Лащевский,Г.А.Полетика,1,directed
В.Лащевский,Е.Прокопович,1,directed
В.Лащевский,В.Г.Рубан,1,directed
В.Лащевский,С.Ф.Тодорский,1,directed
В.Лащевский,В.К.Тредиаковский,1,directed
В.Лащевский,А.Юшкевич,1,directed
В.И.Лебедев,М.В.Ломоносов,1,directed
В.И.Лебедев,В.К.Тредиаковский,1,directed
В.И.Лебедев,Я.Я.Штелин,1,directed
Г.С.Лебедев,Г.Р.Державин,1,directed
С.Лебедев,Н.Н.Николев,1,directed
С.Лебедев,А.И.Перепечин,1,directed
А.И.Леванда,Н.М.Карамзин,1,directed
А.И.Леванда,А.И.Клушин,1,directed
А.И.Леванда,И.Г.Рахманинов,1,directed
И.В.Леванда,И.М.Долгоруков,1,directed
И.В.Леванда,В.В.Капнист,1,directed
П.А.Левашев,П.И.Богданович,1,directed
П.А.Левашев,Е.Р.Дашкова,1,directed
П.А.Левашев,Г.Р.Державин,1,directed
П.А.Левашев,Г.И.Добрынин,1,directed
П.А.Левашев,ЕкатеринаII,1,directed
П.А.Левашев,М.В.Ломоносов,1,directed
П.А.Левашев,Н.И.Новиков,1,directed
П.А.Левашев,Н.И.Панин,1,directed
Н.Е.Левицкий,А.Р.Воронцов,1,directed
Н.Е.Левицкий,Н.И.Новиков,1,directed
Н.Е.Левицкий,А.П.Сумароков,1,directed
Н.Е.Левицкий,А.П.Шувалов,1,directed
Н.Е.Левицкий,И.И.Шувалов,1,directed
А.Г.Левшин,П.Г.Левшин,1,directed
В.А.Левшин,А.Т.Болотов,1,directed
В.А.Левшин,А.А.Витовтов,1,directed
В.А.Левшин,ЕкатеринаII,1,directed
В.А.Левшин,Ф.П.Ключарев,1,directed
В.А.Левшин,В.В.Лазаревич,1,directed
В.А.Левшин,Н.И.Новиков,1,directed
В.А.Левшин,А.П.Сумароков,1,directed
В.А.Левшин,Д.И.Фонвизин,1,directed
В.А.Левшин,М.Д.Чулков,1,directed
П.Г.Левшин,И.И.Бецкой,1,directed
П.Г.Левшин,М.И.Веревкин,1,directed
